SendDate,Solar Power (kW),Solar energy Generation  (kWh),consumptionValue (kW),Device_1_Consumption (kW),Device_2_Consumption (kW),Device_3_Consumption (kW),Device_4_Consumption (kW),TOU_rates (INR),Predicted Solar energy Generation (kWh),Predicted TOU_rates (INR),Cummulative Energy Consumption
7/1/2024 2:42,144,0,0.34,0.083,0.212,0.148,0.013,10,0,10,11.15
7/1/2024 2:48,144,-0.1,,,,,,10,-0.1,10,11.15
7/1/2024 2:52,144,0,0.34,0.023,0.01,0.05,0.078,10,0,10,11.49
7/1/2024 2:57,144,0,0.35,0.106,0.036,0.209,0.073,10,0,10,11.84
7/1/2024 3:03,144,0,0.37,0.083,0.22,0.098,0.089,10,0,10,12.21
7/1/2024 3:08,144,0,0.38,0.015,0.06,0.089,0.052,10,0,10,12.59
7/1/2024 3:13,144,0,0.38,0.11,0.017,0.166,0.04,10,0,10,12.97
7/1/2024 3:19,144,0,0.38,0.098,0.027,0.013,0.114,10,0,10,13.35
7/1/2024 3:26,144,0,0.39,0.053,0.05,0,0.12,10,0,10,13.74
7/1/2024 3:30,144,0,0.35,0.018,0.015,0.059,0.096,10,0,10,14.09
7/1/2024 3:35,144,0,0.35,0.026,0.009,0.071,0.086,10,0,10,14.44
7/1/2024 3:40,144,0,0.36,0.134,0.201,0.054,0.232,10,0,10,14.8
7/1/2024 3:45,144,0,0.37,0.114,0.189,0.09,0.022,10,0,10,15.17
7/1/2024 3:51,144,0,0.36,0.119,0.079,0.062,0.062,10,0,10,15.53
7/1/2024 3:56,144,0,0.35,0.018,0.305,0.076,0.232,10,0,10,15.88
7/1/2024 4:01,144,0,0.36,0.066,0.082,0.105,0.078,19.29775281,0,19.29775281,16.24
7/1/2024 4:06,144,0,0.35,0.047,0.054,0.03,0.077,19.29775281,0,19.29775281,16.59
7/1/2024 4:11,144,0,0.35,0.059,0.056,0.063,0.043,19.29775281,0,19.29775281,16.94
7/1/2024 4:16,144,0,0.35,0.07,0.003,0.055,0.135,19.29775281,0,19.29775281,17.29
7/1/2024 4:23,144,0,0.35,0.007,0.176,0.182,0.027,19.29775281,0,19.29775281,17.64
7/1/2024 4:28,144,0,0.37,0.219,0.194,0.05,0.326,19.29775281,0,19.29775281,18.01
7/1/2024 4:33,144,0,0.35,0.141,0.079,0.215,0.03,19.29775281,0,19.29775281,18.36
7/1/2024 4:39,144,0,0.35,0.067,0.02,0.037,0.022,19.29775281,0,19.29775281,18.71
7/1/2024 4:44,144,0,0.35,0.171,0.164,0.067,0.014,19.29775281,0,19.29775281,19.06
7/1/2024 4:49,144,0,0.34,0.011,0.047,0.066,0.001,19.29775281,0,19.29775281,19.4
7/1/2024 4:54,144,0,0.35,0.021,0.16,0.053,0.003,19.29775281,0,19.29775281,19.75
7/1/2024 5:00,144,0,0.35,0.147,0.002,0.048,0.027,19.29775281,0,19.29775281,20.1
7/1/2024 5:05,144,0,0.36,0.069,0.173,0.1,0.116,19.29775281,0,19.29775281,20.46
7/1/2024 5:10,144,0,0.36,0.002,0.005,0.105,0.02,19.29775281,0,19.29775281,20.82
7/1/2024 5:16,144,0,0.35,0.005,0.111,0.057,0.063,19.29775281,0,19.29775281,21.17
7/1/2024 5:21,144,0,0.39,0.024,0.11,0.172,0.154,19.29775281,0,19.29775281,21.56
7/1/2024 5:27,144,0,0.35,0.006,0.012,0.039,0.142,19.29775281,0,19.29775281,21.91
7/1/2024 5:32,144,0,0.35,0.046,0.018,0.125,0.127,24.41011236,0,24.41011236,22.26
7/1/2024 5:38,144,0,0.36,0.091,0.084,0.209,0.027,24.41011236,0,24.41011236,22.62
7/1/2024 5:43,144,0,0.36,0.163,0.071,0.092,0.075,24.41011236,0,24.41011236,22.98
7/1/2024 5:48,144,0,0.37,0.305,0.245,0.23,0.003,24.41011236,0,24.41011236,23.35
7/1/2024 5:54,144,0,0.37,0.062,0.025,0.236,0.122,24.41011236,0,24.41011236,23.72
7/1/2024 5:56,144,0,0.37,0.07,0.081,0.134,0.082,24.41011236,0,24.41011236,24.09
7/1/2024 5:58,144,-0.1,,,,,,24.41011236,-0.1,24.41011236,24.09
7/1/2024 5:59,147,0,0.39,0.044,0.004,0.082,0.308,24.41011236,0,24.41011236,24.48
7/1/2024 6:01,143,0,0.4,0.113,0.044,0.003,0.087,19.29775281,0,19.29775281,24.88
7/1/2024 6:04,148,0,0.39,0.133,0.083,0.213,0.023,19.29775281,0,19.29775281,25.27
7/1/2024 6:05,149,0,0.4,0.135,0.101,0.13,0.011,19.29775281,0,19.29775281,25.67
7/1/2024 6:06,145,-0.1,,,,,,19.29775281,-0.1,19.29775281,25.67
7/1/2024 6:12,150,0,0.38,0.004,0.106,0.025,0.22,19.29775281,0,19.29775281,26.05
7/1/2024 6:15,223,0,0.41,0.089,0.036,0.095,0.025,19.29775281,0,19.29775281,26.46
7/1/2024 6:18,154,0,0.4,0.177,0.201,0.155,0.025,19.29775281,0,19.29775281,26.86
7/1/2024 6:19,151,-0.1,,,,,,19.29775281,-0.1,19.29775281,26.86
7/1/2024 6:20,150,0,0.4,0.13,0.071,0.082,0.11,19.29775281,0,19.29775281,27.26
7/1/2024 6:22,150,-0.1,,,,,,19.29775281,-0.1,19.29775281,27.26
7/1/2024 6:25,149,-0.1,,,,,,19.29775281,-0.1,19.29775281,27.26
7/1/2024 6:27,152,-0.1,,,,,,19.29775281,-0.1,19.29775281,27.26
7/1/2024 6:28,152,0,0.4,0.051,0.296,0.008,0.009,19.29775281,0,19.29775281,27.66
7/1/2024 6:29,152,0,0.4,0.16,0.04,0.276,0.172,19.29775281,0,19.29775281,28.06
7/1/2024 6:31,150,-0.1,,,,,,19.29775281,-0.1,19.29775281,28.06
7/1/2024 6:32,153,0,0.4,0.039,0.094,0.057,0.093,19.29775281,0,19.29775281,28.46
7/1/2024 6:33,152,0,0.41,0.036,0.058,0.173,0.026,19.29775281,0,19.29775281,28.87
7/1/2024 6:37,153,-0.1,,,,,,19.29775281,-0.1,19.29775281,28.87
7/1/2024 6:38,155,0,0.4,0.005,0.132,0.283,0.004,19.29775281,0,19.29775281,29.27
7/1/2024 6:39,154,0,0.39,0.111,0.094,0.045,0.09,19.29775281,0,19.29775281,29.66
7/1/2024 6:42,155,0,0.38,0.166,0.214,0.166,0.038,19.29775281,0,19.29775281,30.04
7/1/2024 6:44,156,0.1,0.4,0.057,0.107,0.221,0,19.29775281,0.1,19.29775281,30.44
7/1/2024 6:46,156,-0.1,,,,,,19.29775281,-0.1,19.29775281,30.44
7/1/2024 6:48,155,-0.1,,,,,,19.29775281,-0.1,19.29775281,30.44
7/1/2024 6:50,153,0.1,0.4,0.124,0.112,0.014,0.037,19.29775281,0.1,19.29775281,30.84
7/1/2024 6:51,152,0.1,0.4,0.104,0.124,0.155,0.222,19.29775281,0.1,19.29775281,31.24
7/1/2024 6:54,153,0.1,0.38,0.025,0.135,0.019,0.119,19.29775281,0.1,19.29775281,31.62
7/1/2024 6:55,154,0.1,0.4,0.079,0.29,0.056,0.045,19.29775281,0.1,19.29775281,32.02
7/1/2024 6:56,155,0.1,0.37,0.098,0.018,0.079,0.117,19.29775281,0.1,19.29775281,32.39
7/1/2024 7:00,155,0.1,0.38,0.05,0.084,0.015,0.083,19.29775281,0.1,19.29775281,32.77
7/1/2024 7:01,155,0.1,0.38,0.004,0.049,0.032,0.106,19.29775281,0.1,19.29775281,33.15
7/1/2024 7:02,153,-0.1,,,,,,19.29775281,-0.1,19.29775281,33.15
7/1/2024 7:03,154,0.1,0.4,0.008,0.088,0.114,0.002,19.29775281,0.1,19.29775281,33.55
7/1/2024 7:05,153,-0.1,,,,,,19.29775281,-0.1,19.29775281,33.55
7/1/2024 7:09,153,-0.1,,,,,,19.29775281,-0.1,19.29775281,33.55
7/1/2024 7:10,155,0.1,0.38,0.038,0.233,0.216,0.078,19.29775281,0.1,19.29775281,33.93
7/1/2024 7:11,155,0.1,0.39,0.109,0.034,0.077,0.047,19.29775281,0.1,19.29775281,34.32
7/1/2024 7:14,154,-0.1,,,,,,19.29775281,-0.1,19.29775281,34.32
7/1/2024 7:15,153,0.1,0.38,0.028,0.081,0.089,0.023,19.29775281,0.1,19.29775281,34.7
7/1/2024 7:17,156,0.1,0.38,0.235,0.11,0.033,0.145,19.29775281,0.1,19.29775281,35.08
7/1/2024 7:18,155,0.1,0.38,0.07,0.248,0.067,0.089,19.29775281,0.1,19.29775281,35.46
7/1/2024 7:19,155,0.1,0.38,0.08,0.177,0.003,0.239,19.29775281,0.1,19.29775281,35.84
7/1/2024 7:23,155,0.1,0.38,0.193,0.057,0.097,0.197,19.29775281,0.1,19.29775281,36.22
7/1/2024 7:25,156,0.1,0.38,0.147,0.168,0.041,0.16,19.29775281,0.1,19.29775281,36.6
7/1/2024 7:26,156,0.1,0.39,0.099,0.018,0.239,0.101,19.29775281,0.1,19.29775281,36.99
7/1/2024 7:27,156,0.1,0.39,0.063,0.266,0.117,0.068,19.29775281,0.1,19.29775281,37.38
7/1/2024 7:28,153,0.1,0.38,0.006,0.165,0.063,0.259,19.29775281,0.1,19.29775281,37.76
7/1/2024 7:32,153,0.1,0.44,0.113,0.038,0.177,0.001,19.29775281,0.1,19.29775281,38.2
7/1/2024 7:33,153,0.2,0.38,0.148,0.122,0.048,0.013,19.29775281,0.2,19.29775281,38.58
7/1/2024 7:35,153,-0.1,,,,,,19.29775281,-0.1,19.29775281,38.58
7/1/2024 7:36,153,0.2,0.38,0.211,0.193,0.063,0.016,19.29775281,0.2,19.29775281,38.96
7/1/2024 7:38,154,0.2,0.37,0.156,0.072,0.071,0.064,19.29775281,0.2,19.29775281,39.33
7/1/2024 7:39,153,-0.1,,,,,,19.29775281,-0.1,19.29775281,39.33
7/1/2024 7:41,155,0.2,0.38,0.003,0.003,0.145,0.004,19.29775281,0.2,19.29775281,39.71
7/1/2024 7:43,153,0.2,0.39,0.05,0.109,0.024,0.064,19.29775281,0.2,19.29775281,40.1
7/1/2024 7:45,156,-0.1,,,,,,19.29775281,-0.1,19.29775281,40.1
7/1/2024 7:46,153,0.2,0.38,0.026,0.017,0.008,0.075,19.29775281,0.2,19.29775281,40.48
7/1/2024 7:49,154,0.2,0.38,0.041,0.076,0.062,0.009,19.29775281,0.2,19.29775281,40.86
7/1/2024 7:51,152,0.2,0.38,0.223,0.004,0.001,0,19.29775281,0.2,19.29775281,41.24
7/1/2024 7:52,153,0.2,0.38,0.047,0.156,0.072,0.031,19.29775281,0.2,19.29775281,41.62
7/1/2024 7:55,151,0.2,0.4,0.033,0.076,0.279,0.013,19.29775281,0.2,19.29775281,42.02
7/1/2024 7:56,154,0.2,0.4,0.021,0.113,0.121,0.288,19.29775281,0.2,19.29775281,42.42
7/1/2024 7:57,152,0.2,0.4,0.143,0.048,0.054,0.009,19.29775281,0.2,19.29775281,42.82
7/1/2024 7:59,152,0.2,0.39,0.32,0.145,0.109,0.16,19.29775281,0.2,19.29775281,43.21
7/1/2024 8:00,151,0.2,0.41,0.02,0.086,0.004,0.044,24.41011236,0.2,24.41011236,43.62
7/1/2024 8:03,153,-0.1,,,,,,24.41011236,-0.1,24.41011236,43.62
7/1/2024 8:05,154,-0.1,,,,,,24.41011236,-0.1,24.41011236,43.62
7/1/2024 8:07,155,-0.1,,,,,,24.41011236,-0.1,24.41011236,43.62
7/1/2024 8:11,157,-0.1,,,,,,24.41011236,-0.1,24.41011236,43.62
7/1/2024 8:12,156,0.2,0.41,0.131,0.136,0.333,0.073,24.41011236,0.2,24.41011236,44.03
7/1/2024 8:13,155,0.2,0.42,0.035,0.083,0.137,0.209,24.41011236,0.2,24.41011236,44.45
7/1/2024 8:16,154,0.2,0.39,0.158,0.168,0.02,0.023,24.41011236,0.2,24.41011236,44.84
7/1/2024 8:17,154,0.2,0.41,0.12,0.025,0.138,0.249,24.41011236,0.2,24.41011236,45.25
7/1/2024 8:18,155,0.2,0.4,0.098,0.021,0.202,0.066,24.41011236,0.2,24.41011236,45.65
7/1/2024 8:20,156,0.2,0.4,0.115,0.172,0.089,0.218,24.41011236,0.2,24.41011236,46.05
7/1/2024 8:22,175,-0.1,,,,,,24.41011236,-0.1,24.41011236,46.05
7/1/2024 8:23,157,0.3,0.4,0.029,0.108,0.01,0.213,24.41011236,0.3,24.41011236,46.45
7/1/2024 8:24,157,-0.1,,,,,,24.41011236,-0.1,24.41011236,46.45
7/1/2024 8:26,153,-0.1,,,,,,24.41011236,-0.1,24.41011236,46.45
7/1/2024 8:28,154,-0.1,,,,,,24.41011236,-0.1,24.41011236,46.45
7/1/2024 8:29,156,0.3,0.4,0.082,0.002,0.092,0.033,24.41011236,0.3,24.41011236,46.85
7/1/2024 8:30,153,0.3,0.41,0.025,0.097,0.062,0.237,24.41011236,0.3,24.41011236,47.26
7/1/2024 8:34,154,0.3,0.4,0.003,0.007,0.219,0.284,24.41011236,0.3,24.41011236,47.66
7/1/2024 8:35,153,-0.1,,,,,,24.41011236,-0.1,24.41011236,47.66
7/1/2024 8:37,153,-0.1,,,,,,24.41011236,-0.1,24.41011236,47.66
7/1/2024 8:39,152,-0.1,,,,,,24.41011236,-0.1,24.41011236,47.66
7/1/2024 8:40,153,0.3,0.41,0.008,0.089,0.086,0.332,24.41011236,0.3,24.41011236,48.07
7/1/2024 8:42,154,-0.1,,,,,,24.41011236,-0.1,24.41011236,48.07
7/1/2024 8:43,154,0.3,0.41,0.002,0.105,0.138,0.108,24.41011236,0.3,24.41011236,48.48
7/1/2024 8:44,152,0.3,0.41,0.014,0.088,0.034,0.213,24.41011236,0.3,24.41011236,48.89
7/1/2024 8:46,154,0.3,0.4,0.082,0.243,0.046,0.01,24.41011236,0.3,24.41011236,49.29
7/1/2024 8:47,154,0.3,0.41,0.128,0.091,0.082,0.036,24.41011236,0.3,24.41011236,49.7
7/1/2024 8:51,153,-0.1,,,,,,24.41011236,-0.1,24.41011236,49.7
7/1/2024 8:52,153,0.3,0.41,0.141,0.014,0.018,0.314,24.41011236,0.3,24.41011236,50.11
7/1/2024 8:53,151,0.3,0.4,0.002,0.014,0.031,0.032,24.41011236,0.3,24.41011236,50.51
7/1/2024 8:56,152,-0.1,,,,,,24.41011236,-0.1,24.41011236,50.51
7/1/2024 8:58,152,0.3,0.42,0.112,0.003,0.282,0.004,24.41011236,0.3,24.41011236,50.93
7/1/2024 9:00,154,-0.1,,,,,,24.41011236,-0.1,24.41011236,50.93
7/1/2024 9:02,152,-0.1,,,,,,24.41011236,-0.1,24.41011236,50.93
7/1/2024 9:03,156,-0.1,,,,,,24.41011236,-0.1,24.41011236,50.93
7/1/2024 9:05,156,0.3,0.41,0.086,0.159,0.073,0.006,24.41011236,0.3,24.41011236,51.34
7/1/2024 9:06,157,0.3,0.42,0.136,0.034,0.223,0.018,24.41011236,0.3,24.41011236,51.76
7/1/2024 9:07,154,0.3,0.41,0.12,0.165,0.04,0.041,24.41011236,0.3,24.41011236,52.17
7/1/2024 9:10,157,0.4,0.41,0.102,0.025,0.262,0.094,24.41011236,0.4,24.41011236,52.58
7/1/2024 9:11,157,0.4,0.41,0.208,0.044,0.109,0.071,24.41011236,0.4,24.41011236,52.99
7/1/2024 9:12,156,0.4,0.42,0.19,0.156,0.215,0.182,24.41011236,0.4,24.41011236,53.41
7/1/2024 9:16,157,0.4,0.42,0.006,0.017,0.006,0.096,24.41011236,0.4,24.41011236,53.83
7/1/2024 9:17,155,0.4,0.46,0.112,0.058,0.132,0.098,24.41011236,0.4,24.41011236,54.29
7/1/2024 9:18,822,0.4,0.42,0.013,0.135,0.036,0.049,24.41011236,0.4,24.41011236,54.71
7/1/2024 9:18,806,0.4,0.45,0.194,0.154,0.101,0.12,24.41011236,0.4,24.41011236,55.16
7/1/2024 9:25,959,0.5,0.44,0.028,0.06,0.318,0.012,24.41011236,0.5,24.41011236,55.6
7/1/2024 9:30,1045,0.5,0.44,0.109,0.276,0.145,0.161,24.41011236,0.5,24.41011236,56.04
7/1/2024 9:35,936,0.6,0.45,0.166,0.054,0.139,0.146,24.41011236,0.6,24.41011236,56.49
7/1/2024 9:40,995,0.7,0.48,0.213,0.227,0.219,0.249,24.41011236,0.7,24.41011236,56.97
7/1/2024 9:45,786,0.8,0.49,0.264,0.148,0.138,0.163,24.41011236,0.8,24.41011236,57.46
7/1/2024 9:51,836,0.8,0.49,0.11,0.006,0.079,0.019,24.41011236,0.8,24.41011236,57.95
7/1/2024 9:56,1058,0.9,0.48,0.09,0.222,0.122,0.081,24.41011236,0.9,24.41011236,58.43
7/1/2024 10:01,1172,1,0.46,0.189,0.016,0.133,0.221,24.41011236,1,24.41011236,58.89
7/1/2024 10:06,896,1.1,0.5,0.122,0.157,0.193,0.039,24.41011236,1.1,24.41011236,59.39
7/1/2024 10:11,827,1.2,0.51,0.126,0.001,0.081,0.098,24.41011236,1.2,24.41011236,59.9
7/1/2024 10:17,1081,1.2,0.51,0.017,0.067,0.116,0.254,24.41011236,1.2,24.41011236,60.41
7/1/2024 10:23,1467,1.4,0.51,0.021,0.18,0.098,0.209,24.41011236,1.4,24.41011236,60.92
7/1/2024 10:28,1537,1.5,0.5,0.045,0.102,0.056,0.16,24.41011236,1.5,24.41011236,61.42
7/1/2024 10:33,869,1.6,0.52,0.017,0.211,0.189,0.144,24.41011236,1.6,24.41011236,61.94
7/1/2024 10:38,1442,1.6,0.5,0.162,0.047,0.158,0.041,24.41011236,1.6,24.41011236,62.44
7/1/2024 10:43,1417,1.8,0.48,0.224,0.221,0.213,0.014,24.41011236,1.8,24.41011236,62.92
7/1/2024 10:49,1176,1.9,0.46,0.087,0.045,0.283,0.117,24.41011236,1.9,24.41011236,63.38
7/1/2024 10:54,855,1.9,0.46,0.032,0.128,0.072,0.043,24.41011236,1.9,24.41011236,63.84
7/1/2024 10:59,1365,2,0.46,0.283,0.027,0.048,0.142,24.41011236,2,24.41011236,64.3
7/1/2024 11:04,900,2.1,0.47,0.289,0.178,0.361,0.25,24.41011236,2.1,24.41011236,64.77
7/1/2024 11:09,1326,2.2,0.46,0.049,0.117,0.041,0.011,24.41011236,2.2,24.41011236,65.23
7/1/2024 11:14,1138,2.3,0.43,0.302,0.068,0.168,0.029,24.41011236,2.3,24.41011236,65.66
7/1/2024 11:19,973,2.4,0.43,0.218,0.085,0.039,0.111,24.41011236,2.4,24.41011236,66.09
7/1/2024 11:26,1563,2.5,0.48,0.078,0.018,0.044,0.269,24.41011236,2.5,24.41011236,66.57
7/1/2024 11:31,1163,2.6,0.51,0.391,0.037,0.312,0.149,24.41011236,2.6,24.41011236,67.08
7/1/2024 11:36,1562,2.7,0.46,0.022,0.073,0.131,0.211,24.41011236,2.7,24.41011236,67.54
7/1/2024 11:41,1528,2.8,0.43,0.005,0.184,0.072,0.114,24.41011236,2.8,24.41011236,67.97
7/1/2024 11:46,1443,2.9,0.55,0.421,0.14,0.209,0.323,24.41011236,2.9,24.41011236,68.52
7/1/2024 11:52,881,3,0.44,0.054,0.073,0.022,0.145,24.41011236,3,24.41011236,68.96
7/1/2024 11:57,1147,3.1,0.46,0.049,0.179,0.017,0.22,24.41011236,3.1,24.41011236,69.42
7/1/2024 12:02,1012,3.2,0.48,0.386,0.05,0.032,0.117,24.41011236,3.2,24.41011236,69.9
7/1/2024 12:07,1609,3.3,0.47,0.231,0.075,0.017,0.209,24.41011236,3.3,24.41011236,70.37
7/1/2024 12:12,852,3.4,0.46,0.281,0.268,0.109,0.152,24.41011236,3.4,24.41011236,70.83
7/1/2024 12:16,649,3.5,0.46,0.321,0.232,0.095,0.004,24.41011236,3.5,24.41011236,71.29
7/1/2024 12:18,644,3.5,0.43,0.247,0.27,0.119,0.218,24.41011236,3.5,24.41011236,71.72
7/1/2024 12:18,656,3.5,0.48,0.133,0.018,0.05,0.08,24.41011236,3.5,24.41011236,72.2
7/1/2024 12:24,667,3.5,0.45,0.072,0.01,0.004,0.002,24.41011236,3.5,24.41011236,72.65
7/1/2024 12:29,805,3.6,0.48,0.007,0.134,0.093,0.081,24.41011236,3.6,24.41011236,73.13
7/1/2024 12:34,769,3.7,0.48,0.023,0.005,0.169,0.085,24.41011236,3.7,24.41011236,73.61
7/1/2024 12:39,941,3.8,0.5,0.112,0.044,0.158,0.273,24.41011236,3.8,24.41011236,74.11
7/1/2024 12:44,1038,3.8,0.5,0.314,0.074,0.037,0.021,24.41011236,3.8,24.41011236,74.61
7/1/2024 12:50,927,3.9,0.41,0.018,0.174,0.004,0.154,19.29775281,3.9,19.29775281,75.02
7/1/2024 12:55,742,4,0.42,0.107,0.077,0.023,0.091,19.29775281,4,19.29775281,75.44
7/1/2024 13:00,1022,4.1,0.46,0.126,0.07,0.214,0.091,19.29775281,4.1,19.29775281,75.9
7/1/2024 13:05,576,4.1,0.45,0.016,0.253,0.261,0.056,19.29775281,4.1,19.29775281,76.35
7/1/2024 13:10,702,4.2,0.45,0.273,0.071,0.249,0.083,19.29775281,4.2,19.29775281,76.8
7/1/2024 13:16,1219,4.3,0.45,0.005,0.224,0.016,0.039,19.29775281,4.3,19.29775281,77.25
7/1/2024 13:22,1212,4.4,0.43,0.279,0.199,0.186,0.24,19.29775281,4.4,19.29775281,77.68
7/1/2024 13:27,1012,4.4,0.45,0.165,0.084,0.053,0.131,19.29775281,4.4,19.29775281,78.13
7/1/2024 13:32,1079,4.5,0.39,0.131,0.148,0.032,0.273,19.29775281,4.5,19.29775281,78.52
7/1/2024 13:37,1072,4.6,0.37,0.01,0.029,0.055,0.088,19.29775281,4.6,19.29775281,78.89
7/1/2024 13:42,1053,4.7,0.39,0.016,0.199,0.075,0.138,19.29775281,4.7,19.29775281,79.28
7/1/2024 13:47,1040,4.8,0.38,0.149,0.313,0.329,0.013,19.29775281,4.8,19.29775281,79.66
7/1/2024 13:52,1069,4.9,0.39,0.145,0.071,0.072,0.028,19.29775281,4.9,19.29775281,80.05
7/1/2024 13:57,1003,4.9,0.37,0.113,0.039,0.277,0.039,19.29775281,4.9,19.29775281,80.42
7/1/2024 14:02,1031,5,0.38,0.046,0.011,0.145,0.102,19.29775281,5,19.29775281,80.8
7/1/2024 14:08,999,5.1,0.36,0.061,0.136,0.046,0.035,19.29775281,5.1,19.29775281,81.16
7/1/2024 14:13,976,5.2,0.37,0.04,0.088,0.253,0.206,19.29775281,5.2,19.29775281,81.53
7/1/2024 14:18,944,5.3,0.35,0.012,0.15,0.025,0.031,19.29775281,5.3,19.29775281,81.88
7/1/2024 14:24,1204,5.3,0.41,0.078,0.08,0.046,0.165,19.29775281,5.3,19.29775281,82.29
7/1/2024 14:29,937,5.4,0.41,0.037,0.067,0.113,0.079,19.29775281,5.4,19.29775281,82.7
7/1/2024 14:34,934,5.5,0.41,0.041,0.148,0.091,0.011,19.29775281,5.5,19.29775281,83.11
7/1/2024 14:40,888,5.6,0.41,0.091,0.129,0.073,0.338,19.29775281,5.6,19.29775281,83.52
7/1/2024 14:45,911,5.6,0.42,0.218,0.35,0.149,0.035,19.29775281,5.6,19.29775281,83.94
7/1/2024 14:48,1187,5.7,0.44,0.125,0.1,0.096,0.168,19.29775281,5.7,19.29775281,84.38
7/1/2024 14:49,1190,5.7,0.43,0.193,0.019,0.169,0.108,19.29775281,5.7,19.29775281,84.81
7/1/2024 14:50,1149,5.7,0.44,0.005,0.15,0.044,0.182,19.29775281,5.7,19.29775281,85.25
7/1/2024 14:55,1312,5.8,0.39,0.002,0.109,0.238,0.095,19.29775281,5.8,19.29775281,85.64
7/1/2024 15:00,885,5.9,0.38,0.078,0.097,0.101,0.015,19.29775281,5.9,19.29775281,86.02
7/1/2024 15:05,1270,6,0.38,0.044,0.133,0.227,0.007,10,6,10,86.4
7/1/2024 15:08,718,6,0.38,0.062,0.018,0.273,0.09,10,6,10,86.78
7/1/2024 15:10,663,6,0.41,0.042,0.075,0.018,0.064,10,6,10,87.19
7/1/2024 15:12,596,6.1,0.4,0.242,0.17,0.101,0.071,10,6.1,10,87.59
7/1/2024 15:15,761,6.1,0.4,0.117,0.084,0.154,0.108,10,6.1,10,87.99
7/1/2024 15:22,706,6.2,0.4,0.021,0.204,0.008,0.149,10,6.2,10,88.39
7/1/2024 15:27,901,6.2,0.42,0.265,0.156,0.176,0.062,10,6.2,10,88.81
7/1/2024 15:32,1170,6.3,0.39,0.084,0.075,0.17,0.014,10,6.3,10,89.2
7/1/2024 15:37,1142,6.4,0.39,0.087,0.005,0.07,0.056,10,6.4,10,89.59
7/1/2024 15:42,1034,6.5,0.39,0.066,0.046,0.023,0.043,10,6.5,10,89.98
7/1/2024 15:47,1108,6.6,0.38,0.247,0.015,0.102,0.17,10,6.6,10,90.36
7/1/2024 15:53,1105,6.7,0.38,0.003,0.154,0.022,0.07,10,6.7,10,90.74
7/1/2024 15:58,1000,6.7,0.37,0.163,0.188,0.044,0.039,10,6.7,10,91.11
